sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0.763667;0.464679;0.464679;0.0117071;-3.46742e-18;5.77904e-19;0.008;-0.0023876;-0.0023876;0.000406732;-1.20467e-19;2.00778e-20;0;0;0;0;0;0;0.00570422;
1.34141;1.03518;1.03518;0.0321982;5.70385e-18;-2.77962e-18;0.016;-0.00475068;-0.00475068;0.0016185;1.28498e-19;-9.43657e-20;0;0;0;0;0;0;0.0126962;
1.92316;1.61632;1.61632;0.0549479;-1.96589e-17;-7.02793e-18;0.024;-0.00708971;-0.00708971;0.00361013;-6.90677e-19;-3.57385e-19;0;0;0;0;0;0;0.0199102;
2.51011;2.20727;2.20727;0.0761184;-2.22081e-18;2.10721e-18;0.032;-0.00940509;-0.00940509;0.00634011;-6.58552e-19;-2.28887e-19;0;0;0;0;0;0;0.0274285;
3.10357;2.80715;2.80715;0.0945828;6.42318e-17;1.45029e-17;0.04;-0.0116973;-0.0116973;0.00975125;1.99172e-18;3.5337e-19;0;0;0;0;0;0;0.0352985;
3.70457;3.41524;3.41524;0.110096;-1.0568e-16;-8.02856e-18;0.048;-0.0139666;-0.0139666;0.0137715;-2.82696e-18;-7.22801e-20;0;0;0;0;0;0;0.0435328;
4.31384;4.03095;4.03095;0.122793;4.1245e-17;1.0968e-18;0.056;-0.0162136;-0.0162136;0.0183153;-4.17619e-19;2.40934e-20;0;0;0;0;0;0;0.0521127;
4.93178;4.65389;4.65389;0.13294;5.88477e-17;1.35747e-17;0.064;-0.0184385;-0.0184385;0.0232844;1.86322e-18;6.02335e-19;0;0;0;0;0;0;0.0609922;
5.55859;5.28376;5.28376;0.1408;-4.71357e-17;-1.12058e-17;0.072;-0.0206418;-0.0206418;0.0285702;-5.46117e-19;3.21245e-20;0;0;0;0;0;0;0.0701033;
