sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3.13023;2.79382;2.79382;-1.25424e-18;-2.613e-18;2.29944e-18;0.04;-0.0116973;-0.0116973;-1.92747e-19;-4.01556e-19;3.5337e-19;0;0;0;0;0;0;0.0330765;
6.25519;5.8899;5.8899;-4.90522e-18;4.6306e-18;-3.32067e-18;0.08;-0.0228238;-0.0228238;-8.99486e-19;2.89121e-19;-1.4456e-19;0;0;0;0;0;0;0.0670417;
9.55777;9.17186;9.17186;-1.15969e-18;-2.15998e-17;-8.82678e-18;0.12;-0.0334271;-0.0334271;-1.02798e-18;-2.69846e-18;-1.33317e-18;0;0;0;0;0;0;0.100692;
13.0256;12.6239;12.6239;1.27241e-17;1.27391e-17;1.61702e-17;0.16;-0.0435493;-0.0435493;6.4249e-19;-8.99486e-19;8.35237e-19;0;0;0;0;0;0;0.134042;
16.6466;16.2323;16.2323;-5.34675e-17;3.68825e-18;-2.34448e-17;0.2;-0.0532275;-0.0532275;-6.16791e-18;-5.13992e-19;-2.21659e-18;0;0;0;0;0;0;0.167108;
20.4098;19.9851;19.9851;8.78433e-17;4.39898e-18;2.67145e-17;0.24;-0.0624952;-0.0624952;4.88293e-18;0;1.18861e-18;0;0;0;0;0;0;0.199911;
24.3053;23.8717;23.8717;-1.70514e-17;4.67288e-17;-3.72679e-17;0.28;-0.0713822;-0.0713822;2.31296e-18;5.52542e-18;-3.4052e-18;0;0;0;0;0;0;0.232466;
28.3237;27.8826;27.8826;4.62474e-18;-8.38376e-17;9.08072e-18;0.32;-0.0799153;-0.0799153;2.95545e-18;-4.49743e-18;-2.12022e-18;0;0;0;0;0;0;0.26479;
32.457;32.0092;32.0092;-2.12146e-17;1.17456e-16;6.99775e-17;0.36;-0.0881187;-0.0881187;5.13992e-19;9.38036e-18;5.78241e-18;0;0;0;0;0;0;0.296898;
36.6976;36.2437;36.2437;1.12557e-18;-1.99587e-17;2.7474e-17;0.4;-0.0960142;-0.0960142;7.70988e-19;6.4249e-18;8.41662e-18;0;0;0;0;0;0;0.328803;
41.0385;40.5793;40.5793;2.1132e-17;-1.04127e-16;-7.51169e-17;0.44;-0.103622;-0.103622;3.08395e-18;-4.88293e-18;0;0;0;0;0;0;0;0.360519;
45.4736;45.0094;45.0094;-2.73191e-17;4.8718e-17;1.82839e-17;0.48;-0.11096;-0.11096;0;1.02798e-18;2.44146e-18;0;0;0;0;0;0;0.392057;
49.9971;49.5283;49.5283;1.72056e-16;-3.81689e-17;-2.78784e-17;0.52;-0.118044;-0.118044;1.85037e-17;-3.34095e-18;-6.4249e-19;0;0;0;0;0;0;0.423428;
54.6039;54.1308;54.1308;-1.65844e-16;1.27289e-16;1.48562e-17;0.56;-0.12489;-0.12489;0;1.02798e-17;1.09223e-18;0;0;0;0;0;0;0.454641;
