sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
-0.170161;0.179716;0.0052316;-3.31236e-18;-1.28814e-18;-5.33658e-18;-0.00763201;0.00763758;2.25947e-05;-1.4456e-19;-5.62179e-20;-2.32903e-19;0;0;0;0;0;0;0.00756542;
-0.16111;0.204286;0.0224551;-7.68797e-19;-4.13557e-18;3.35779e-18;-0.0152195;0.015264;8.04927e-05;-1.60623e-19;-2.44949e-19;-4.01556e-20;0;0;0;0;0;0;0.0162938;
-0.135315;0.242811;0.0544132;1.31873e-17;1.47446e-17;1.72412e-17;-0.0227182;0.0228682;0.000158418;4.49743e-19;4.57774e-19;7.30833e-19;0;0;0;0;0;0;0.0249679;
-0.0902293;0.298784;0.103917;-2.13073e-17;-1.85587e-17;-1.83916e-17;-0.0300844;0.030439;0.000240585;-5.78241e-19;-4.57774e-19;-1.92747e-19;0;0;0;0;0;0;0.0335529;
-0.0232915;0.375232;0.173647;1.63674e-17;4.59186e-17;2.35156e-17;-0.0372751;0.0379654;0.000310815;2.56996e-19;1.63032e-18;9.31611e-19;0;0;0;0;0;0;0.042016;
0.0679453;0.474863;0.266077;-6.53911e-19;-4.8428e-17;-1.35027e-17;-0.0442484;0.0454364;0.000352677;1.28498e-19;-6.66584e-19;2.24872e-19;0;0;0;0;0;0;0.0503264;
0.185758;0.600108;0.38345;3.02984e-17;3.99332e-17;-2.12811e-17;-0.0509635;0.0528411;0.000349631;1.34923e-18;1.23679e-18;-5.46117e-19;0;0;0;0;0;0;0.0584548;
0.332228;0.753132;0.527764;-3.99255e-17;-3.15412e-18;3.59775e-17;-0.0573814;0.0601688;0.0002852;-3.85494e-19;8.67362e-19;9.79798e-19;0;0;0;0;0;0;0.0663739;
0.509226;0.935835;0.700762;-1.17818e-17;1.84053e-17;1.02668e-17;-0.0634645;0.0674087;0.000143143;-5.78241e-19;1.5741e-18;1.14042e-18;0;0;0;0;0;0;0.0740589;
0.718407;1.14985;0.903933;8.38375e-17;-1.15862e-17;4.27952e-19;-0.0691775;0.0745502;-9.2357e-05;2.50571e-18;1.04405e-18;1.09223e-18;0;0;0;0;0;0;0.0814873;
0.961219;1.39656;1.1385;-9.17035e-18;-6.68217e-17;-5.97818e-18;-0.0744869;0.081583;-0.000436494;1.67047e-18;-1.18861e-18;8.83424e-19;0;0;0;0;0;0;0.0886398;
1.2389;1.67707;1.40545;-7.94656e-17;6.57199e-17;-4.4853e-17;-0.0793618;0.0884967;-0.00090364;-8.99486e-19;1.39742e-18;-5.62179e-19;0;0;0;0;0;0;0.0955007;
1.55251;1.99223;1.7055;1.3069e-16;-3.89325e-17;-3.87372e-17;-0.0837738;0.0952814;-0.00150715;3.72644e-18;-2.40934e-19;-1.50985e-18;0;0;0;0;0;0;0.102058;
1.90292;2.3426;2.03916;-1.28394e-16;2.49716e-17;5.68935e-17;-0.0876971;0.101927;-0.00225915;-9.63735e-19;7.54926e-19;4.49743e-19;0;0;0;0;0;0;0.108306;
2.29082;2.7285;2.4067;5.9286e-17;-3.69442e-17;1.04599e-16;-0.0911088;0.108424;-0.00317037;1.54198e-18;-4.65805e-19;3.11608e-18;0;0;0;0;0;0;0.114241;
2.71679;3.14994;2.80823;-3.79992e-17;-2.28858e-17;-3.3646e-17;-0.0939891;0.114763;-0.00424996;1.28498e-19;-8.67362e-19;1.54198e-18;0;0;0;0;0;0;0.119869;
