sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
359.525;359.525;358.986;-5.51973e-16;-5.3475e-16;-6.09343e-16;1.28;1.28;-0.506601;-3.08395e-17;-3.54655e-17;-3.34095e-17;0;0;0;0;0;0;1.18884;
372.248;372.248;371.707;-2.56183e-16;3.21599e-16;2.72731e-16;1.32;1.32;-0.513901;-5.13992e-17;-2.05597e-18;-4.11194e-18;0;0;0;0;0;0;1.22037;
385.011;385.011;384.468;7.80113e-16;-4.87876e-16;1.62122e-16;1.36;1.36;-0.520972;2.26157e-17;-4.93432e-17;9.25186e-18;0;0;0;0;0;0;1.25174;
397.813;397.813;397.268;-3.26957e-16;4.8607e-16;-3.18271e-16;1.4;1.4;-0.527823;-1.23358e-17;-1.54198e-18;-2.10737e-17;0;0;0;0;0;0;1.28297;
410.651;410.651;410.104;-5.16767e-16;2.6336e-16;2.98842e-16;1.44;1.44;-0.534466;-5.75671e-17;1.95317e-17;8.22387e-18;0;0;0;0;0;0;1.31405;
423.524;423.524;422.975;-3.06987e-16;-4.29299e-16;-3.92911e-16;1.48;1.48;-0.540909;-8.22387e-17;-2.10737e-17;-2.92976e-17;0;0;0;0;0;0;1.34501;
436.43;436.43;435.879;1.02791e-15;3.981e-16;4.12e-16;1.52;1.52;-0.547162;1.23358e-17;1.74757e-17;1.02798e-17;0;0;0;0;0;0;1.37584;
449.368;449.368;448.816;-3.65148e-16;-9.87503e-17;2.6954e-16;1.56;1.56;-0.553234;-2.67276e-17;6.16791e-18;3.18675e-17;0;0;0;0;0;0;1.40654;
462.337;462.337;461.782;4.82971e-16;-3.41938e-16;-2.58543e-16;1.6;1.6;-0.559132;1.85037e-17;-2.36436e-17;7.19589e-18;0;0;0;0;0;0;1.43713;
475.334;475.334;474.778;-6.63811e-16;1.04575e-15;2.37694e-16;1.64;1.64;-0.564864;-4.31753e-17;7.09309e-17;2.98115e-17;0;0;0;0;0;0;1.46761;
488.36;488.36;487.802;1.00609e-15;-4.2936e-16;-5.2138e-16;1.68;1.68;-0.570437;4.93432e-17;2.67276e-17;-1.74757e-17;0;0;0;0;0;0;1.49799;
501.412;501.412;500.852;-4.63815e-17;-1.26605e-15;-3.66448e-16;1.72;1.72;-0.575857;3.90634e-17;-8.12108e-17;-4.62593e-17;0;0;0;0;0;0;1.52826;
514.489;514.489;513.928;-2.40019e-16;4.6604e-16;3.76295e-16;1.76;1.76;-0.581131;1.85037e-17;-3.28955e-17;-1.13078e-17;0;0;0;0;0;0;1.55844;
527.591;527.591;527.028;-5.17081e-16;8.66532e-16;6.10161e-16;1.8;1.8;-0.586266;-2.46716e-17;3.90634e-17;3.90634e-17;0;0;0;0;0;0;1.58852;
540.717;540.717;540.152;3.69599e-16;-2.36719e-16;-1.02105e-15;1.84;1.84;-0.591265;1.02798e-17;1.33638e-17;-5.24272e-17;0;0;0;0;0;0;1.61851;
553.865;553.865;553.299;2.91427e-16;-1.15996e-15;-1.82234e-16;1.88;1.88;-0.596136;3.28955e-17;-8.42947e-17;-6.16791e-17;0;0;0;0;0;0;1.64842;
567.035;567.035;566.467;-4.86617e-16;3.62919e-16;5.67116e-16;1.92;1.92;-0.600883;-1.02798e-17;-4.62593e-17;-1.23358e-17;0;0;0;0;0;0;1.67825;
580.225;580.225;579.656;-1.32823e-16;6.21991e-16;7.09843e-16;1.96;1.96;-0.60551;-1.85037e-17;4.11194e-18;4.42033e-17;0;0;0;0;0;0;1.70799;
593.436;593.436;592.866;3.07712e-16;-1.00792e-16;-2.2865e-16;2;2;-0.610023;8.22387e-18;-8.22387e-18;2.05597e-17;0;0;0;0;0;0;1.73766;
606.666;606.666;606.094;4.39861e-16;6.61642e-17;-4.83094e-16;2.04;2.04;-0.614425;4.31753e-17;-2.05597e-18;-1.85037e-17;0;0;0;0;0;0;1.76726;
619.915;619.915;619.341;-7.31502e-16;4.2396e-16;6.05043e-16;2.08;2.08;-0.618722;-2.05597e-17;3.28955e-17;3.49515e-17;0;0;0;0;0;0;1.79678;
633.181;633.181;632.606;-6.98313e-16;-2.9028e-16;3.17475e-16;2.12;2.12;-0.622915;-7.40149e-17;6.16791e-18;5.75671e-17;0;0;0;0;0;0;1.82624;
