sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1.00897;0.777954;0.67077;3.96493e-18;-6.03616e-18;2.66301e-19;0.00799787;0.000159979;-0.00347652;1.34521e-19;-2.04794e-19;9.03502e-21;0;0;0;0;0;0;0.00553569;
1.87086;1.63969;1.5178;-7.31229e-18;3.29262e-18;-2.94408e-18;0.0159829;0.000639659;-0.00704479;-1.72669e-19;-4.01556e-20;-1.06412e-19;0;0;0;0;0;0;0.0122577;
2.76732;2.53947;2.4014;9.12875e-18;8.20751e-18;-2.40005e-18;0.0239424;0.00143827;-0.0106985;2.1684e-19;2.48965e-19;-1.78693e-19;0;0;0;0;0;0;0.0189831;
3.69763;3.47506;3.32055;3.48911e-18;-6.67372e-18;1.24887e-17;0.0318636;0.00255454;-0.0144311;2.89121e-19;-4.81868e-20;2.97152e-19;0;0;0;0;0;0;0.0257077;
4.66065;4.44486;4.27385;1.52876e-19;6.39847e-18;9.2302e-18;0.0397339;0.00398668;-0.018236;2.73058e-19;2.24872e-19;5.54148e-19;0;0;0;0;0;0;0.0324286;
5.65508;5.44733;5.25984;-4.93608e-18;-1.06174e-17;-1.32757e-18;0.0475405;0.00573241;-0.0221067;9.63735e-20;-1.92747e-19;4.49743e-19;0;0;0;0;0;0;0.0391433;
6.67951;6.48091;6.277;6.46094e-18;-8.29157e-18;1.21396e-17;0.0552711;0.00778891;-0.0260364;3.5337e-19;-4.17619e-19;8.83424e-19;0;0;0;0;0;0;0.0458496;
7.73243;7.54403;7.32376;-5.35241e-18;-5.82192e-17;-3.27013e-17;0.0629133;0.0101529;-0.0300182;1.28498e-19;-2.37721e-18;-3.21245e-19;0;0;0;0;0;0;0.0525455;
8.81229;8.63503;8.39853;-4.99982e-17;8.18174e-17;1.66861e-17;0.0704548;0.0128206;-0.0340453;-1.54198e-18;7.70988e-19;4.49743e-19;0;0;0;0;0;0;0.0592291;
9.91748;9.75223;9.49965;2.13579e-17;4.08403e-17;1.40527e-17;0.0778837;0.0157878;-0.0381108;-5.13992e-19;1.63835e-18;8.19175e-19;0;0;0;0;0;0;0.0658989;
11.0463;10.8939;10.6254;6.58417e-17;-1.83783e-16;-2.00979e-17;0.0851879;0.0190497;-0.0422078;1.54198e-18;-4.7223e-18;6.4249e-20;0;0;0;0;0;0;0.0725532;
