sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2.48534e-17;2.23977e-17;2.23185e-17;0.0788875;-0.157775;-0.00157796;1.28498e-19;4.01556e-21;-8.91634e-36;0.00399893;-0.00799787;-7.99893e-05;0;0;0;0;0;0;0.00906465;
-9.84042e-17;-8.69809e-17;-8.68324e-17;0.082725;-0.16545;-0.0046082;-5.13992e-19;-4.51751e-21;-2.6749e-36;0.00799147;-0.0159829;-0.000319829;0;0;0;0;0;0;0.0193152;
-4.758e-18;-1.17209e-17;-1.19814e-17;0.0858128;-0.171626;-0.00817338;-6.4249e-20;1.00389e-20;4.45817e-36;0.0119712;-0.0239424;-0.000719136;0;0;0;0;0;0;0.0295508;
-2.80992e-17;-2.85129e-17;-2.77148e-17;0.0884062;-0.176812;-0.0119808;-1.28498e-19;-3.21245e-20;-8.91634e-37;0.0159318;-0.0318636;-0.00127727;0;0;0;0;0;0;0.0397542;
3.50907e-17;2.6108e-17;2.73445e-17;0.0906286;-0.181257;-0.0159777;2.56996e-19;-8.83424e-20;6.24144e-36;0.0198669;-0.0397339;-0.00199334;0;0;0;0;0;0;0.0499105;
3.95491e-16;3.48885e-16;3.51874e-16;0.0925518;-0.185104;-0.020146;2.31296e-18;-2.24872e-19;-1.33745e-35;0.0237703;-0.0475405;-0.0028662;0;0;0;0;0;0;0.0600056;
2.03887e-16;2.29048e-16;2.22706e-16;0.0942214;-0.188443;-0.0244768;1.15648e-18;9.2358e-20;5.01544e-37;0.0276356;-0.0552711;-0.00389446;0;0;0;0;0;0;0.0700261;
-3.55644e-17;-1.13346e-17;-7.91341e-18;0.0956691;-0.191338;-0.0289661;0;-1.04405e-19;-1.78327e-36;0.0314567;-0.0629133;-0.00507646;0;0;0;0;0;0;0.0799588;
-9.90406e-17;-9.39248e-17;-8.95295e-17;0.0969173;-0.193835;-0.0336128;-2.56996e-19;-2.81089e-19;-1.4712e-35;0.0352274;-0.0704548;-0.00641032;0;0;0;0;0;0;0.0897911;
-1.55847e-16;-1.13542e-16;-1.31163e-16;0.0979825;-0.195965;-0.0384188;-1.28498e-18;5.22023e-19;-3.12072e-36;0.0389418;-0.0778837;-0.0078939;0;0;0;0;0;0;0.0995107;
-7.18111e-17;-9.50055e-17;-8.61639e-17;0.0988765;-0.197753;-0.0433884;-5.13992e-19;3.21245e-20;6.24144e-36;0.0425939;-0.0851879;-0.00952483;0;0;0;0;0;0;0.109106;
1.04161e-16;1.01133e-16;8.985e-17;0.0996077;-0.199215;-0.0485276;0;5.62179e-19;2.05076e-35;0.0461779;-0.0923558;-0.0113005;0;0;0;0;0;0;0.118565;
-9.82113e-17;-1.00616e-16;-8.78841e-17;0.100181;-0.200363;-0.0538444;-5.13992e-19;-3.21245e-20;-6.24144e-36;0.049688;-0.099376;-0.0132181;0;0;0;0;0;0;0.127876;
-9.99421e-16;-9.42348e-16;-9.08478e-16;0.1006;-0.201201;-0.0593486;-4.11194e-18;-1.3171e-18;-1.60494e-35;0.0531186;-0.106237;-0.0152745;0;0;0;0;0;0;0.13703;
5.44044e-16;4.16667e-16;3.88519e-16;0.100865;-0.20173;-0.0650512;2.56996e-18;0;5.34981e-35;0.0564642;-0.112928;-0.0174664;0;0;0;0;0;0;0.146016;
8.41683e-16;7.9357e-16;7.76494e-16;0.100974;-0.201947;-0.070965;4.11194e-18;4.81868e-19;-2.85323e-35;0.0597195;-0.119439;-0.0197904;0;0;0;0;0;0;0.154825;
1.11347e-15;1.00617e-15;1.03418e-15;0.100922;-0.201843;-0.077104;6.6819e-18;-6.74615e-19;-9.80798e-36;0.0628793;-0.125759;-0.0222427;0;0;0;0;0;0;0.163447;
2.51529e-16;3.88802e-16;3.7159e-16;0.100702;-0.201405;-0.0834833;1.79897e-18;1.28498e-19;2.05076e-35;0.0659385;-0.131877;-0.0248194;0;0;0;0;0;0;0.171875;
4.6111e-16;4.61518e-16;4.60332e-16;0.100306;-0.200613;-0.090119;2.56996e-18;6.4249e-20;-1.06996e-35;0.0688921;-0.137784;-0.0275164;0;0;0;0;0;0;0.180101;
-5.20025e-16;-3.36863e-16;-3.57418e-16;0.099722;-0.199444;-0.0970278;-3.08395e-18;7.70988e-19;6.41977e-35;0.0717356;-0.143471;-0.0303293;0;0;0;0;0;0;0.188118;
-4.8494e-16;-4.95107e-16;-4.70374e-16;0.0989338;-0.197868;-0.104227;-2.56996e-18;-1.92747e-19;-7.13307e-36;0.0744643;-0.148929;-0.0332537;0;0;0;0;0;0;0.19592;
9.32457e-16;7.82143e-16;7.47743e-16;0.0979233;-0.195847;-0.111732;3.59794e-18;1.09223e-18;3.03156e-35;0.0770739;-0.154148;-0.0362849;0;0;0;0;0;0;0.203503;
-8.57842e-16;-6.82075e-16;-6.52581e-16;0.0966682;-0.193336;-0.11956;-4.11194e-18;-6.4249e-20;3.20988e-35;0.0795602;-0.15912;-0.039418;0;0;0;0;0;0;0.210862;
1.08998e-16;5.92582e-17;3.41281e-17;0.095142;-0.190284;-0.127722;-5.13992e-19;8.99486e-19;1.78327e-36;0.0819192;-0.163838;-0.042648;0;0;0;0;0;0;0.217994;
3.92863e-16;2.5922e-16;2.92377e-16;0.0933136;-0.186627;-0.136229;2.05597e-18;-2.56996e-19;7.13307e-36;0.0841471;-0.168294;-0.0459698;0;0;0;0;0;0;0.224899;
-1.07065e-15;-8.48943e-16;-8.46323e-16;0.0911469;-0.182294;-0.145083;-5.13992e-18;-1.28498e-19;-3.12072e-36;0.0862404;-0.172481;-0.049378;0;0;0;0;0;0;0.231576;
3.26768e-16;9.03617e-17;1.22562e-16;0.0886005;-0.177201;-0.154278;2.05597e-18;-1.02798e-18;5.79562e-36;0.0881958;-0.176392;-0.0528672;0;0;0;0;0;0;0.238027;
-2.28023e-16;-2.13535e-16;-1.99326e-16;0.085628;-0.171256;-0.163796;0;-1.22073e-18;2.85323e-35;0.09001;-0.18002;-0.0564318;0;0;0;0;0;0;0.244254;
6.7812e-16;5.44695e-16;5.31183e-16;0.0821777;-0.164355;-0.173602;4.11194e-18;-7.70988e-19;1.78327e-35;0.0916803;-0.183361;-0.060066;0;0;0;0;0;0;0.250263;
1.02158e-15;9.99691e-16;9.47032e-16;0.0781943;-0.156389;-0.183638;5.13992e-18;5.13992e-19;8.55969e-35;0.0932039;-0.186408;-0.0637642;0;0;0;0;0;0;0.25606;
1.47378e-15;1.40224e-15;1.37406e-15;0.0736201;-0.14724;-0.193817;7.19589e-18;8.99486e-19;-4.99315e-35;0.0945784;-0.189157;-0.0675204;0;0;0;0;0;0;0.261655;
1.72612e-17;4.44189e-16;3.48087e-16;0.0683986;-0.136797;-0.20402;-1.54198e-18;3.08395e-18;-5.70646e-35;0.0958016;-0.191603;-0.0713285;0;0;0;0;0;0;0.26706;
1.45747e-15;1.21321e-15;1.24209e-15;0.0624788;-0.124958;-0.214084;5.65391e-18;1.79897e-18;5.34981e-35;0.0968715;-0.193743;-0.0751825;0;0;0;0;0;0;0.272288;
-1.48855e-16;-3.62475e-16;-9.58234e-17;0.0558217;-0.111643;-0.223804;3.08395e-18;-4.24044e-18;3.56654e-35;0.0977865;-0.195573;-0.0790761;0;0;0;0;0;0;0.277356;
-4.05508e-16;-2.15593e-16;-2.55898e-16;0.0484082;-0.0968163;-0.232931;0;-1.67047e-18;5.34981e-36;0.098545;-0.19709;-0.0830033;0;0;0;0;0;0;0.282285;
-6.67206e-16;-3.96427e-16;-4.87981e-16;0.0402479;-0.0804959;-0.24118;-3.08395e-18;1.28498e-19;3.92319e-35;0.0991458;-0.198292;-0.0869576;0;0;0;0;0;0;0.287095;
6.27316e-16;3.47571e-16;3.74343e-16;0.0313879;-0.0627759;-0.248243;3.59794e-18;-1.02798e-18;6.95475e-35;0.0995881;-0.199176;-0.0909328;0;0;0;0;0;0;0.291813;
-1.07472e-15;-1.33721e-15;-1.02861e-15;0.0219186;-0.0438372;-0.25382;1.02798e-18;-7.58138e-18;5.34981e-36;0.099871;-0.199742;-0.0949226;0;0;0;0;0;0;0.296464;
-1.74858e-15;-8.6071e-16;-1.23602e-15;0.0119749;-0.0239498;-0.257643;-9.76585e-18;2.44146e-18;1.06996e-35;0.0999942;-0.199988;-0.0989204;0;0;0;0;0;0;0.301078;
1.15496e-15;6.82717e-16;6.58394e-16;0.00173111;-0.00346223;-0.259515;4.11194e-18;6.4249e-19;0;0.0999574;-0.199915;-0.10292;0;0;0;0;0;0;0.305683;
1.02381e-15;9.71749e-16;9.05285e-16;-0.00861182;0.0172236;-0.259338;3.59794e-18;1.92747e-18;1.60494e-35;0.0997606;-0.199521;-0.106915;0;0;0;0;0;0;0.31031;
1.44528e-15;1.02257e-15;1.17507e-15;-0.0188446;0.0376892;-0.257129;8.73787e-18;-1.79897e-18;-3.62226e-37;0.0994043;-0.198809;-0.110899;0;0;0;0;0;0;0.314988;
8.54347e-16;8.81461e-16;8.9519e-16;-0.0287697;0.0575394;-0.253016;6.16791e-18;-1.15648e-18;1.42661e-35;0.098889;-0.197778;-0.114865;0;0;0;0;0;0;0.319744;
-5.93855e-16;-4.70991e-16;-3.51845e-16;-0.0382191;0.0764383;-0.247223;1.02798e-18;-3.72644e-18;-6.77642e-35;0.0982154;-0.196431;-0.118808;0;0;0;0;0;0;0.324605;
-6.87335e-17;-1.81908e-17;-4.79986e-17;-0.0470666;0.0941332;-0.240036;2.05597e-18;-2.31296e-18;4.27984e-35;0.0973848;-0.19477;-0.12272;0;0;0;0;0;0;0.329594;
-1.20369e-15;-9.45783e-16;-9.53758e-16;-0.0552318;0.110464;-0.231767;-3.59794e-18;-2.31296e-18;-6.41977e-35;0.0963983;-0.192797;-0.126596;0;0;0;0;0;0;0.334732;
2.409e-15;1.77028e-15;1.75733e-15;-0.0626781;0.125356;-0.222726;1.33638e-17;-2.05597e-18;1.17696e-34;0.0952576;-0.190515;-0.13043;0;0;0;0;0;0;0.340039;
-1.44744e-15;-1.17566e-15;-1.01981e-15;-0.0694057;0.138811;-0.213192;-1.02798e-18;-5.91091e-18;-2.49658e-35;0.0939645;-0.187929;-0.134215;0;0;0;0;0;0;0.345529;
1.40526e-15;1.67488e-15;1.30486e-15;-0.0754422;0.150884;-0.203401;4.11194e-18;4.24044e-18;1.64061e-34;0.0925212;-0.185042;-0.137945;0;0;0;0;0;0;0.351216;
2.22934e-16;1.72417e-16;2.79263e-16;-0.0808332;0.161666;-0.193545;2.05597e-18;-7.70988e-19;6.41977e-35;0.0909297;-0.181859;-0.141615;0;0;0;0;0;0;0.35711;
2.7097e-15;2.66822e-15;2.44761e-15;-0.0856344;0.171269;-0.183767;9.25186e-18;5.65391e-18;-5.34981e-36;0.0891929;-0.178386;-0.145218;0;0;0;0;0;0;0.363219;
-4.53542e-16;2.58915e-17;2.28819e-17;-0.0899052;0.17981;-0.17417;-5.13992e-18;4.36893e-18;-2.85323e-35;0.0873133;-0.174627;-0.148748;0;0;0;0;0;0;0.36955;
-3.73254e-16;-6.7665e-16;-4.34248e-16;-0.0937048;0.18741;-0.164825;-5.13992e-19;-2.31296e-18;2.6749e-36;0.085294;-0.170588;-0.152201;0;0;0;0;0;0;0.376106;
-4.99905e-16;-7.35286e-16;-5.86268e-16;-0.097089;0.194178;-0.155775;1.54198e-18;-5.01142e-18;1.06996e-35;0.0831383;-0.166277;-0.15557;0;0;0;0;0;0;0.38289;
6.72848e-16;8.49398e-16;6.36521e-16;-0.100109;0.200218;-0.147043;2.05597e-18;2.05597e-18;-3.20988e-35;0.0808496;-0.161699;-0.15885;0;0;0;0;0;0;0.389903;
-3.58146e-17;1.92526e-16;1.13135e-16;-0.10281;0.205621;-0.138636;-2.56996e-18;3.08395e-18;1.06996e-35;0.0784316;-0.156863;-0.162036;0;0;0;0;0;0;0.397143;
-4.22942e-16;-8.86447e-16;-5.79532e-16;-0.105234;0.210468;-0.130552;3.08395e-18;-6.6819e-18;1.78327e-35;0.0758881;-0.151776;-0.165123;0;0;0;0;0;0;0.404609;
-2.37243e-16;-1.51214e-16;-2.18696e-16;-0.107415;0.21483;-0.122781;1.54198e-18;-2.69846e-18;1.78327e-36;0.0732231;-0.146446;-0.168106;0;0;0;0;0;0;0.412298;
2.86346e-16;4.70428e-16;3.2261e-16;-0.109384;0.218767;-0.115309;5.13992e-19;1.54198e-18;-2.49658e-35;0.0704411;-0.140882;-0.170979;0;0;0;0;0;0;0.420204;
-7.39422e-16;-6.63964e-16;-6.20458e-16;-0.111167;0.222334;-0.108118;-3.08395e-18;-7.70988e-19;-1.78327e-36;0.0675463;-0.135093;-0.173739;0;0;0;0;0;0;0.428324;
6.45229e-16;4.94588e-16;4.79258e-16;-0.112787;0.225573;-0.101189;3.08395e-18;0;-4.45817e-37;0.0645435;-0.129087;-0.176382;0;0;0;0;0;0;0.43665;
-6.85974e-16;-5.36447e-16;-5.31578e-16;-0.114263;0.228525;-0.094502;-3.08395e-18;-2.56996e-19;-3.92319e-35;0.0614374;-0.122875;-0.178901;0;0;0;0;0;0;0.445176;
-1.63991e-15;-1.89739e-15;-1.65724e-15;-0.115611;0.231223;-0.0880376;-1.54198e-18;-8.35237e-18;-1.42661e-35;0.0582331;-0.116466;-0.181295;0;0;0;0;0;0;0.453893;
-2.2909e-15;-2.34105e-15;-2.24913e-15;-0.116847;0.233694;-0.081776;-3.08395e-18;-1.00228e-17;-2.49658e-35;0.0549355;-0.109871;-0.183559;0;0;0;0;0;0;0.462794;
-5.01088e-16;-1.66853e-16;-4.78904e-16;-0.117981;0.235963;-0.0756986;-3.59794e-18;1.41348e-18;-7.48973e-35;0.0515501;-0.1031;-0.185689;0;0;0;0;0;0;0.471869;
