sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
1.55004;4.52744;3.05356;-1.23718e-17;-1.81681e-17;1.77012e-16;-0.349288;0.379725;-0.0130443;-4.51765e-18;-1.41217e-17;6.12407e-18;-1.09067;1.07436;0.0163144;-8.35704e-18;-9.05716e-18;1.37662e-16;6.00358;
3.24068;6.25151;4.71858;-1.2443e-17;-2.76404e-18;1.39532e-16;-0.342082;0.389451;-0.0203011;-3.52097e-18;5.28714e-18;3.30502e-17;-1.09306;1.09568;-0.00261885;-8.83104e-18;-4.57675e-18;1.14989e-16;6.4162;
5.11123;8.14973;6.55396;-1.78082e-18;-6.18746e-18;1.50122e-16;-0.332568;0.398618;-0.028307;5.89935e-18;-1.3886e-18;-1.11735e-17;-1.09145;1.11604;-0.0245863;-4.05323e-18;-4.539e-18;1.11569e-16;6.82949;
7.14974;10.2104;8.54768;-3.65936e-18;-5.37349e-18;2.23565e-16;-0.320866;0.407225;-0.0370111;3.04739e-19;-7.26922e-19;2.57418e-17;-1.08602;1.13564;-0.0496201;-3.17881e-18;-4.1457e-18;1.43924e-16;7.24232;
9.34192;12.4192;10.6854;-8.19138e-18;-1.35241e-17;2.88735e-16;-0.30712;0.415275;-0.0463522;-4.17129e-18;-7.79324e-18;2.09734e-17;-1.07689;1.15462;-0.0777287;-4.91481e-18;-7.70114e-18;1.85189e-16;7.65375;
11.6716;14.76;12.9509;-3.72236e-18;-7.98234e-18;3.08615e-16;-0.291494;0.422769;-0.0562607;9.44354e-19;-2.77538e-19;-1.5651e-17;-1.06412;1.17302;-0.108894;-3.54454e-18;-6.51917e-18;2.09145e-16;8.06302;
14.1211;17.2148;15.3266;-2.90736e-18;1.8103e-18;2.91773e-16;-0.274167;0.429708;-0.0666606;4.91333e-19;6.66935e-18;-2.19538e-17;-1.04776;1.19082;-0.143064;-2.66355e-18;-1.72895e-18;2.10406e-16;8.46957;
16.6716;19.7647;17.7935;-5.18381e-18;-9.86977e-18;2.86172e-16;-0.255327;0.436093;-0.0774712;-2.01493e-18;-6.46596e-18;1.24165e-17;-1.02779;1.20795;-0.180155;-3.31642e-18;-4.99184e-18;2.08154e-16;8.87304;
19.3038;22.3897;20.3326;-6.61022e-18;-7.42148e-18;2.94434e-16;-0.235171;0.441925;-0.0886087;-2.59008e-18;-1.9263e-18;-2.28962e-18;-1.00422;1.22426;-0.220038;-4.17953e-18;-5.20408e-18;2.10541e-16;9.27324;
21.9979;25.0698;22.9241;-6.05945e-18;-1.81691e-18;3.41872e-16;-0.213899;0.447205;-0.0999883;-1.46859e-18;2.5672e-18;9.43317e-18;-0.977033;1.23957;-0.262539;-4.28344e-18;-2.90796e-18;2.31287e-16;9.67018;
24.7341;27.7848;25.5489;-4.7439e-18;-1.98642e-18;3.84223e-16;-0.191708;0.451933;-0.111525;-3.74276e-19;6.77983e-19;-2.55244e-17;-0.946227;1.25366;-0.307436;-3.77081e-18;-2.04505e-18;2.5704e-16;10.064;
27.493;30.5147;28.1879;-3.86365e-18;-9.31795e-19;3.63383e-16;-0.168793;0.456112;-0.123137;-9.24009e-20;8.15413e-19;-1.65279e-17;-0.91183;1.26629;-0.354457;-3.19225e-18;-1.25265e-18;2.58741e-16;10.4551;
30.2558;33.2405;30.8229;-3.1031e-18;-2.86815e-18;4.1722e-16;-0.145343;0.45974;-0.134742;4.56252e-20;-1.19261e-18;1.34613e-17;-0.873906;1.27719;-0.403279;-2.63657e-18;-1.70458e-18;2.80967e-16;10.8438;
33.0041;35.9437;33.4365;-4.13844e-18;-6.09629e-19;3.816e-16;-0.121539;0.46282;-0.146263;-1.10402e-18;7.82444e-19;-2.13083e-17;-0.83257;1.28611;-0.453535;-2.8116e-18;-9.89097e-19;2.75788e-16;11.2307;
